Date,Open,High,Low,Close,Adj Close,Volume
2017-01-18,8672.879883,8732.730469,8669.179688,8688.980469,8688.980469,31100
2017-01-19,8691.719727,8717.549805,8679.200195,8706.700195,8706.700195,33200
2017-01-20,8689.360352,8701.599609,8605.490234,8612.969727,8612.969727,31200
2017-01-23,8606.150391,8674.540039,8597.519531,8662.839844,8662.839844,30900
2017-01-24,8680.839844,8756.209961,8675.780273,8749.780273,8749.780273,30900
2017-01-25,8775.200195,8880.830078,8769.269531,8872.419922,8872.419922,38700
2017-01-27,8889.089844,8953.450195,8888.549805,8919.830078,8919.830078,60600
2017-01-30,8916.400391,8947.410156,8892.959961,8916.690430,8916.690430,53300
2017-01-31,8924.990234,8924.990234,8823.049805,8831.709961,8831.709961,63500
2017-02-01,8841.669922,9005.080078,8812.179688,8999.549805,8999.549805,66800
2017-02-02,9015.099609,9050.419922,8978.419922,9027.709961,9027.709961,57300
2017-02-03,9043.009766,9055.860352,9007.339844,9037.900391,9037.900391,61800
2017-02-06,9074.429688,9119.200195,9072.040039,9099.990234,9099.990234,47900
2017-02-07,9108.500000,9115.250000,9038.740234,9068.870117,9068.870117,51100
2017-02-08,9087.389648,9103.370117,9020.900391,9079.780273,9079.780273,78400
2017-02-09,9096.179688,9133.190430,9032.389648,9091.709961,9091.709961,45100
2017-02-10,9112.309570,9130.690430,9076.419922,9094.259766,9094.259766,42300
2017-02-13,9124.519531,9129.879883,9050.790039,9102.879883,9102.879883,40700
2017-02-14,9116.419922,9116.669922,9066.179688,9085.370117,9085.370117,37800
2017-02-15,9069.519531,9095.240234,8986.879883,8998.049805,8998.049805,50600
2017-02-16,9015.299805,9077.599609,8988.780273,9073.179688,9073.179688,33600
2017-02-17,9166.360352,9182.500000,9102.860352,9124.019531,9124.019531,40500
2017-02-20,9131.509766,9192.820313,9112.870117,9187.230469,9187.230469,47000
2017-02-21,9205.160156,9241.700195,9184.519531,9229.139648,9229.139648,44600
2017-02-22,9248.019531,9276.179688,9217.099609,9235.459961,9235.459961,46300
2017-02-23,9247.559570,9289.709961,9229.599609,9239.669922,9239.669922,54300
2017-02-27,9244.080078,9255.620117,9194.200195,9200.980469,9200.980469,41400
2017-02-28,9204.059570,9225.200195,9178.690430,9190.730469,9190.730469,201300
2017-03-01,9215.169922,9267.790039,9212.299805,9251.540039,9251.540039,47500
2017-03-02,9292.070313,9301.679688,9163.280273,9180.450195,9180.450195,52700
2017-03-03,9179.110352,9196.000000,9145.879883,9187.650391,9187.650391,37200
2017-03-06,9197.839844,9257.049805,9197.820313,9251.139648,9251.139648,37000
2017-03-07,9266.839844,9268.139648,9225.870117,9237.040039,9237.040039,33800
2017-03-08,9243.969727,9250.160156,9173.379883,9206.009766,9206.009766,71500
2017-03-09,9208.950195,9232.509766,9185.190430,9207.589844,9207.589844,436000
2017-03-10,9232.580078,9260.250000,9183.129883,9208.049805,9208.049805,44900
2017-03-14,9363.040039,9398.580078,9333.360352,9365.610352,9365.610352,58600
2017-03-15,9373.230469,9394.830078,9361.990234,9375.429688,9375.429688,434400
2017-03-16,9409.519531,9462.219727,9409.519531,9456.410156,9456.410156,60900
2017-03-17,9503.160156,9522.320313,9448.940430,9464.700195,9464.700195,47400
2017-03-20,9481.120117,9493.339844,9426.839844,9443.070313,9443.070313,510100
2017-03-21,9450.709961,9455.280273,9388.690430,9425.429688,9425.429688,116100
2017-03-22,9382.440430,9382.440430,9315.009766,9329.419922,9329.419922,103000
2017-03-23,9346.969727,9406.650391,9346.669922,9393.650391,9393.650391,119200
2017-03-24,9402.759766,9447.990234,9402.669922,9417.629883,9417.629883,115100
2017-03-27,9414.230469,9419.679688,9338.549805,9363.900391,9363.900391,109400
2017-03-28,9389.330078,9430.799805,9389.330078,9421.009766,9421.009766,267900
2017-03-29,9444.929688,9461.290039,9429.900391,9455.320313,9455.320313,309100
2017-03-30,9462.469727,9498.889648,9457.379883,9489.969727,9489.969727,53100
2017-03-31,9492.549805,9512.530273,9478.500000,9494.360352,9494.360352,38100
2017-04-03,9527.639648,9562.730469,9515.610352,9558.519531,9558.519531,33500
2017-04-05,9583.730469,9605.540039,9542.799805,9597.509766,9597.509766,40300
2017-04-06,9592.790039,9604.589844,9556.339844,9597.230469,9597.230469,39800
2017-04-07,9577.440430,9597.919922,9522.070313,9535.009766,9535.009766,51300
